25;0.3;1.2;0.67;0.8;2.5;3;3.8;5;6.2;6.8;9;11;12.6;14.9;18.2
24;0.33;1.33;1;2;2.7;3.3;4;5.3;7;8.1;9.8;11.9;14;17;19.9
23;0.37;1.47;1.5;2.3;3;3.75;4.5;6;7.5;9;10.6;12.9;15.2;18.2;21.6
22;0.4;1.63;2;2.5;3.3;4.1;5;6.6;8.4;10;11.6;14;17;20;24
21;0.45;1.8;2.25;2.75;3.66;4.5;5.5;7.2;9.1;11;12.66;15.5;18.5;22;26
20;0.5;2;2.5;3;4;5;6;8;10;12;14;17;20;24.1;28
19;0.33;2.2;2.75;3.3;4.42;5.52;6.62;8.83;11.05;13.25;15.47;18.78;22.1;26.63;30.93
18;0.6;2.43;3.05;3.65;4.88;6.1;7.32;9.77;12.2;14.65;17.08;20.75;24.42;29.43;34.18
